id_data_diri,id_user,nama,nik,jenis_kelamin,tanggal_lahir,id_lokasi,created_at,updated_at
1,1,Fajar Wibowo,3302030501750001,LAKI_LAKI,1975-01-05,233,2026-05-08 01:53:33,2026-05-08 01:53:33
2,2,Ahmad Suryanto,3302031211030002,LAKI_LAKI,2003-11-12,150,2026-05-08 01:53:33,2026-05-08 01:53:33
3,3,Andi Saputra,3302030607790003,LAKI_LAKI,1979-07-06,177,2026-05-08 01:53:33,2026-05-08 01:53:33
4,4,Fajar Handayani,3302031609720004,LAKI_LAKI,1972-09-16,91,2026-05-08 01:53:33,2026-05-08 01:53:33
5,5,Dwi Prasetyo,3302032612910005,LAKI_LAKI,1991-12-26,200,2026-05-08 01:53:33,2026-05-08 01:53:33
6,6,Anisa Susanto,3302034706830006,PEREMPUAN,1983-06-07,245,2026-05-08 01:53:33,2026-05-08 01:53:33
7,7,Bayu Susanto,3302032704170007,LAKI_LAKI,2017-04-27,160,2026-05-08 01:53:33,2026-05-08 01:53:33
8,8,Siti Wati,3302037110090008,PEREMPUAN,2009-10-31,83,2026-05-08 01:53:33,2026-05-08 01:53:33
9,9,Budi Maulana,3302032105750009,LAKI_LAKI,1975-05-21,247,2026-05-08 01:53:33,2026-05-08 01:53:33
10,10,Agus Prasetyo,3302032502150010,LAKI_LAKI,2015-02-25,156,2026-05-08 01:53:33,2026-05-08 01:53:33
11,11,Tri Utami,3302034410100011,PEREMPUAN,2010-10-04,201,2026-05-08 01:53:33,2026-05-08 01:53:33
12,12,Ratna Hidayat,3302036405900012,PEREMPUAN,1990-05-24,124,2026-05-08 01:53:33,2026-05-08 01:53:33
13,13,Bagus Nugroho,3302031410160013,LAKI_LAKI,2016-10-14,245,2026-05-08 01:53:33,2026-05-08 01:53:33
14,14,Galih Santoso,3302030312050014,LAKI_LAKI,2005-12-03,111,2026-05-08 01:53:33,2026-05-08 01:53:33
15,15,Tri Maulana,3302036506860015,PEREMPUAN,1986-06-25,74,2026-05-08 01:53:33,2026-05-08 01:53:33
