id_user;email;password;no_hp;status_verifikasi;nama;nik;jenis_kelamin;tanggal_lahir;id_lokasi;id_pendidikan;id_pekerjaan;id_pendapatan;jumlah_tanggungan;created_at;updated_at
1;r.m..najam.natsir26@gmail.com;123456;87211755002;1;R.M. Najam Natsir;6577442871422710;Laki-laki;1989-08-02;6;6;10;2;0;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
2;tgk..umay.safitri550@gmail.com;123456;81902683106;1;Tgk. Umay Safitri;7988348136760650;Perempuan;2006-06-09;8;7;5;3;5;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
3;karsana.oktaviani702@gmail.com;123456;83708840957;1;Karsana Oktaviani;2486117574539150;Laki-laki;2006-11-16;14;2;3;3;1;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
4;fathonah.hutagalung611@gmail.com;123456;80395980765;1;Fathonah Hutagalung;2614498251982660;Perempuan;1992-10-05;13;3;9;3;0;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
5;shania.palastri501@gmail.com;123456;80988308904;1;Shania Palastri;0771452842572396;Perempuan;1988-02-21;8;9;8;1;1;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
6;intan.wahyudin66@gmail.com;123456;83522062980;1;Intan Wahyudin;2621954781044480;Laki-laki;2000-05-09;11;2;1;2;5;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
7;hasan.utama820@gmail.com;123456;88214422948;1;Hasan Utama;5098998142403930;Perempuan;1990-03-20;8;5;7;3;5;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
8;ir..violet.santoso,.s.i.kom159@gmail.com;123456;81207030495;1;Ir. Violet Santoso, S.I.Kom;0580084955006532;Perempuan;1994-11-09;11;6;4;2;3;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
9;kamidin.pranowo688@gmail.com;123456;86499065055;1;Kamidin Pranowo;1302245398565920;Laki-laki;1982-02-13;5;2;2;3;4;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
10;h..galang.rahimah279@gmail.com;123456;82236852906;1;H. Galang Rahimah;8031914751961030;Laki-laki;1980-03-13;7;3;1;2;2;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
11;dalimin.suryono921@gmail.com;123456;83663589792;1;Dalimin Suryono;1714197467217300;Laki-laki;2001-08-09;4;8;6;2;1;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
12;carub.putra25@gmail.com;123456;86320735683;1;Carub Putra;0825905374918104;Laki-laki;1998-10-13;9;9;4;2;3;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
13;puti.oni.mangunsong,.m.pd972@gmail.com;123456;86338733442;1;Puti Oni Mangunsong, M.Pd;1496963502456440;Laki-laki;1987-06-30;8;3;2;2;4;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
14;ir..yuliana.halim,.s.sos96@gmail.com;123456;88762102480;1;Ir. Yuliana Halim, S.Sos;4616426077141950;Perempuan;2004-10-29;4;2;8;1;3;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
15;tgk..bagas.kuswoyo973@gmail.com;123456;87488494184;1;Tgk. Bagas Kuswoyo;7827424723801310;Perempuan;1992-02-01;7;7;6;3;3;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
16;kani.suwarno64@gmail.com;123456;82495687303;1;Kani Suwarno;7894756224036410;Perempuan;1986-11-01;3;10;9;1;3;2026-05-20 08:22:18.386170;2026-05-20 08:22:18.386170
17;ina.hutapea86@gmail.com;123456;86140323737;1;Ina Hutapea;8200593676791010;Laki-laki;1987-10-24;11;2;10;1;3;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
18;kamaria.tarihoran786@gmail.com;123456;83697713595;1;Kamaria Tarihoran;9391582636875060;Perempuan;1983-12-19;2;9;6;1;3;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
19;dr..juli.anggriawan,.s.kom109@gmail.com;123456;84384115669;1;Dr. Juli Anggriawan, S.Kom;7485329247563430;Perempuan;1990-10-10;6;5;6;2;4;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
20;queen.mardhiyah570@gmail.com;123456;80907476647;1;Queen Mardhiyah;0263545473722111;Perempuan;1994-06-26;9;3;4;1;5;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
21;ganda.wijayanti284@gmail.com;123456;87952112105;1;Ganda Wijayanti;2956184854410950;Perempuan;1992-04-02;7;8;2;3;5;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
22;purwanto.damanik156@gmail.com;123456;81539176725;1;Purwanto Damanik;4489366792261100;Laki-laki;1984-11-10;8;10;8;2;0;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
23;anom.suryono296@gmail.com;123456;87746976694;1;Anom Suryono;5698013752166950;Laki-laki;2001-03-23;2;10;1;2;5;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
24;eka.winarno619@gmail.com;123456;82098599620;1;Eka Winarno;7469156403368360;Perempuan;2008-03-21;7;9;1;2;0;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
25;heryanto.prastuti259@gmail.com;123456;83945965413;1;Heryanto Prastuti;7672594619621550;Perempuan;1993-09-03;14;2;8;1;5;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
26;bella.astuti511@gmail.com;123456;89274444115;1;Bella Astuti;7107837207856840;Laki-laki;1992-03-06;6;9;9;2;3;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
27;tgk..samsul.marbun,.m.kom.891@gmail.com;123456;81652707783;1;Tgk. Samsul Marbun, M.Kom.;6894055884547460;Perempuan;1998-06-04;8;5;6;3;5;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
28;tgk..among.lestari666@gmail.com;123456;80365968456;1;Tgk. Among Lestari;2622097711203030;Perempuan;1994-05-20;4;9;7;3;5;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
29;ayu.susanti,.s.pd175@gmail.com;123456;81636452646;1;Ayu Susanti, S.Pd;8425099296439810;Laki-laki;1992-11-08;6;10;5;3;2;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
30;drajat.susanti,.s.psi850@gmail.com;123456;86256706492;1;Drajat Susanti, S.Psi;7636667686963460;Laki-laki;1986-02-18;2;5;6;3;3;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
31;drs..capa.rahimah206@gmail.com;123456;81595982848;1;Drs. Capa Rahimah;7319198799837050;Laki-laki;1988-06-30;11;5;10;2;5;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
